date,PCODE,vim,viq
11/10/2024,MY08,0.83749,100.55238
21/10/2024,MY08,0.836407,100.44772
1/11/2024,MY08,0.8350344,100.3099
11/11/2024,MY08,0.83404285,100.21693
21/11/2024,MY08,0.83293366,100.117805
1/12/2024,MY08,0.83156735,100.00375
11/12/2024,MY08,0.83013767,99.9044
21/12/2024,MY08,0.82883394,99.852394
1/1/2025,MY08,0.8271863,99.834755
11/1/2025,MY08,0.82593954,99.910995
21/1/2025,MY08,0.824741,100.00793
1/2/2025,MY08,0.8238142,100.12673
11/2/2025,MY08,0.82314646,100.22397
21/2/2025,MY08,0.82319146,100.33955
1/3/2025,MY08,0.82377625,100.450966
11/3/2025,MY08,0.8249596,100.54164
21/3/2025,MY08,0.826557,100.56822
1/10/2024,MY09,0.82911736,100.45484
11/10/2024,MY09,0.8284937,100.29606
21/10/2024,MY09,0.82798916,100.16042
1/11/2024,MY09,0.8276583,100.07447
11/11/2024,MY09,0.82737476,100.04039
21/11/2024,MY09,0.82724774,100.079414
1/12/2024,MY09,0.8267642,100.140144
11/12/2024,MY09,0.825733,100.206985
21/12/2024,MY09,0.82439286,100.32357
1/1/2025,MY09,0.8226556,100.51749
11/1/2025,MY09,0.8208372,100.731674
21/1/2025,MY09,0.8190051,100.91102
1/2/2025,MY09,0.8178992,101.11734
11/2/2025,MY09,0.8175501,101.281296
21/2/2025,MY09,0.81785,101.38559
1/3/2025,MY09,0.8186991,101.42888
11/3/2025,MY09,0.8202533,101.42113
21/3/2025,MY09,0.82219976,101.32243
1/10/2024,MY10,0.70972854,98.01383
11/10/2024,MY10,0.70322144,95.56715
21/10/2024,MY10,0.70554286,93.75781
1/11/2024,MY10,0.7159571,92.99667
11/11/2024,MY10,0.7303929,93.23124
21/11/2024,MY10,0.74555,94.18241
1/12/2024,MY10,0.75773335,95.58033
11/12/2024,MY10,0.76402617,97.189064
21/12/2024,MY10,0.76526666,99.22328
1/1/2025,MY10,0.76077616,102.16576
11/1/2025,MY10,0.7514619,105.33928
21/1/2025,MY10,0.73828566,108.013405
1/2/2025,MY10,0.7224143,109.943344
11/2/2025,MY10,0.7073738,110.69579
21/2/2025,MY10,0.6964952,110.58945
1/3/2025,MY10,0.68985474,109.92141
11/3/2025,MY10,0.6876738,108.864006
21/3/2025,MY10,0.6902285,107.53984
1/10/2024,MY11,0.6843903,98.34277
11/10/2024,MY11,0.6803903,97.35319
21/10/2024,MY11,0.68068063,96.78474
1/11/2024,MY11,0.6823677,96.34168
11/11/2024,MY11,0.6837323,96.002686
21/11/2024,MY11,0.6864258,96.12275
1/12/2024,MY11,0.6906161,96.84006
11/12/2024,MY11,0.69407743,97.9201
21/12/2024,MY11,0.6942516,99.06067
1/1/2025,MY11,0.6897355,100.36725
11/1/2025,MY11,0.6825516,101.67973
21/1/2025,MY11,0.6730193,102.57937
1/2/2025,MY11,0.66230965,103.06948
11/2/2025,MY11,0.6538129,103.24027
21/2/2025,MY11,0.6474548,103.01876
1/3/2025,MY11,0.644,102.637184
11/3/2025,MY11,0.6457387,102.422775
21/3/2025,MY11,0.65392584,102.45489
1/10/2024,MY12,0.8462765,100.627815
11/10/2024,MY12,0.84526414,100.51543
21/10/2024,MY12,0.84418464,100.38104
1/11/2024,MY12,0.8433243,100.2562
11/11/2024,MY12,0.842669,100.15187
21/11/2024,MY12,0.8418825,100.03639
1/12/2024,MY12,0.8411084,99.9327
11/12/2024,MY12,0.840279,99.84091
21/12/2024,MY12,0.8393193,99.75171
1/1/2025,MY12,0.838541,99.7068
11/1/2025,MY12,0.8379852,99.709785
21/1/2025,MY12,0.83771765,99.76431
1/2/2025,MY12,0.83735293,99.82931
11/2/2025,MY12,0.8370113,99.905396
21/2/2025,MY12,0.83714646,100.03096
1/3/2025,MY12,0.8378102,100.20476
11/3/2025,MY12,0.83890224,100.40107
21/3/2025,MY12,0.8401949,100.55917
1/10/2024,MY13,0.8447786,101.655594
11/10/2024,MY13,0.84348965,101.56739
21/10/2024,MY13,0.84199345,101.44266
1/11/2024,MY13,0.8401251,101.26031
11/11/2024,MY13,0.8381792,101.062904
21/11/2024,MY13,0.8360699,100.84665
1/12/2024,MY13,0.8342601,100.65927
11/12/2024,MY13,0.83226395,100.4523
21/12/2024,MY13,0.8306876,100.28487
1/1/2025,MY13,0.8296491,100.16725
11/1/2025,MY13,0.82893497,100.08977
21/1/2025,MY13,0.82845235,100.04222
1/2/2025,MY13,0.8284375,100.05508
11/2/2025,MY13,0.82907057,100.14026
21/2/2025,MY13,0.8302469,100.287674
1/3/2025,MY13,0.8317362,100.45637
11/3/2025,MY13,0.83344257,100.61829
